,tsne1,tsn2
101,32.90494,-42.857365
102,1.3761663,-86.25799
103,-9.702977,-53.331127
104,-2.5583801,64.48308
105,19.01855,-60.709503
106,-7.289872,-20.633434
107,-26.591387,23.228115
108,41.925476,-6.669018
109,-50.799442,0.7148309
110,60.35131,-15.331892
111,6.166282,12.558767
112,25.682188,33.32182
113,64.29661,18.087784
114,31.467323,1.3332746
115,-41.41017,24.560102
116,30.887342,-72.64984
117,60.200428,-55.26202
118,-47.327362,63.565945
119,-66.6466,23.09498
120,-70.66613,10.44871
121,10.490861,30.776909
122,-4.9409394,-9.28141
123,3.461841,32.827366
124,-6.381264,-45.98696
125,-2.4731703,-70.41029
126,-52.100655,-21.794834
127,46.54544,33.265553
128,46.759613,-31.20493
129,-9.130679,23.203892
130,47.088177,50.26034
131,49.542656,-62.28305
132,9.294809,71.168304
133,-34.40537,54.01173
134,-12.9502,32.181293
135,3.1037424,2.07154
136,62.24169,46.6586
137,3.8125827,79.08239
138,-9.129641,-80.651085
139,-4.762814,-59.522263
140,-2.193108,-0.76333976
141,22.185286,-30.680775
142,-69.01873,17.949915
143,27.26475,33.865917
144,-42.806923,37.320263
145,-9.031752,62.04332
146,14.321866,-22.913986
147,25.046562,48.214336
148,-41.158802,27.21876
149,-7.363342,-25.060755
150,50.798973,-42.309937
151,10.788971,43.02803
152,47.503677,-20.39146
153,-19.180077,10.298359
154,-21.621122,42.62481
155,-16.377714,56.06536
156,24.044743,17.04191
157,35.488663,-25.546381
158,42.369125,57.90737
159,20.19222,32.488686
160,30.626808,-68.20401
161,-47.64588,21.1042
162,76.77419,34.879658
163,-18.730331,-61.770226
164,-74.327286,15.552888
165,39.586956,-54.357254
166,-60.790592,-0.4682825
167,-3.7918186,18.747288
168,46.458233,51.064056
169,-61.981487,21.885921
170,36.47407,19.067717
171,-47.480877,-65.963135
172,-18.385118,-1.6857871
173,-21.978241,10.955952
174,30.816986,76.31851
175,-41.29287,26.271667
176,-58.66245,-6.4629726
177,4.0547104,13.546426
178,64.5208,41.549515
179,7.3833046,27.824902
180,24.671162,-28.019852
181,-60.870434,-18.13951
182,48.89984,-44.25351
183,-34.529305,-21.568878
184,-43.772717,-30.04067
185,36.04455,-72.62722
186,73.258766,1.0421861
187,-31.590496,10.250953
188,-44.748386,-71.718155
189,-19.869402,11.069179
190,-8.136511,-25.04484
191,49.12836,13.836338
192,-68.27764,14.471511
193,46.943302,19.10764
194,19.182697,32.071426
195,-39.296,28.982704
196,-18.525997,7.7126107
197,-70.98986,-25.129942
198,69.09778,-37.042778
199,22.818195,-42.46348
200,29.348705,-49.97229
201,-84.27214,22.409117
202,-38.060913,-59.96324
203,-41.354767,-16.911255
204,-35.184124,29.437248
205,-45.383938,35.09614
206,-36.985287,-26.050919
207,45.89584,-69.177734
208,4.4701867,-85.51414
209,40.808685,40.09383
210,10.29925,-26.69704
211,-21.035444,56.24307
212,28.755955,33.590034
213,69.25824,-36.508938
214,-2.1623757,40.008892
215,-61.538345,-7.4132934
216,45.874516,-6.965785
217,23.721706,-78.12566
218,60.759247,-56.9494
219,-6.498531,-20.024864
220,-43.231922,-34.999546
221,-1.9639623,16.176495
222,59.372215,16.932806
223,19.67462,-6.5007677
224,2.1014674,17.534348
225,-48.65957,32.84287
226,-40.044,33.852825
227,17.606298,-68.29438
228,20.197638,-37.31217
229,46.943176,19.107525
230,-16.934114,-68.288246
231,35.231922,-24.96049
232,-38.79405,53.26934
233,-56.025066,24.902647
234,-60.302876,52.115498
235,45.87699,-69.15809
236,-1.3236499,-54.92835
237,0.40527636,-53.96859
238,49.083202,-36.24434
239,-77.715614,30.154568
240,56.66101,-3.0351007
241,-47.74654,-29.34394
242,-41.66258,-62.542034
243,-82.87158,-14.044776
244,-28.891886,-61.447567
245,10.244349,1.4548819
246,-49.20497,-28.610617
247,63.533566,19.514671
248,59.15001,-56.79166
249,-55.617558,-5.0189013
250,-32.766163,-44.60482
251,-60.01075,-21.006979
252,33.42588,-38.079807
253,30.81736,76.31765
254,46.487324,51.069134
255,37.088184,-75.747604
256,-67.89592,43.265167
257,33.802944,23.390265
258,-29.943989,-28.3017
259,-3.029078,-26.572533
260,-42.891933,34.05217
261,-21.267689,-54.07296
262,0.6243614,-60.911533
263,-23.153992,61.136925
264,18.402534,77.94732
265,-29.004261,-39.71877
266,48.94533,30.966537
267,35.00722,13.027226
268,77.71062,-12.4243965
269,2.0555854,76.57704
270,34.995872,-25.78958
271,14.830483,-21.61816
272,5.953374,-42.15112
273,-14.501364,-0.103360005
274,-59.872295,-21.107016
275,20.39644,-26.308603
276,31.957254,-13.0627575
277,-36.49314,51.075104
278,-40.257046,12.916495
279,-31.87359,66.06161
280,11.841722,63.020756
281,20.726799,-28.554768
282,-16.702728,-5.554801
283,-31.794012,-63.97445
284,-64.8346,3.5502396
285,14.856935,17.110327
286,59.590252,42.106476
287,-52.962734,-50.34916
