,tsne1,tsn2
221,55.786903,-10.936364
222,48.633724,50.126686
223,37.501785,4.970088
224,57.223923,-16.727758
225,15.331799,33.341576
226,17.076977,32.325592
227,-43.853943,-15.379827
228,59.277763,2.3696415
229,-11.449432,-46.141975
230,-16.864748,30.941738
231,-5.218643,-12.696986
232,-54.76176,-14.716017
233,-41.149193,13.004301
234,23.537743,10.588491
235,-36.65271,-8.542793
236,25.261175,18.455881
237,25.910007,18.346056
238,-3.051043,-1.7379291
239,-30.345032,16.664
240,48.786957,-12.289615
241,40.50684,-22.536394
242,49.02722,37.623
243,-14.281918,18.247196
244,51.191193,24.731817
245,-36.53512,-55.998764
246,45.244026,-26.3284
247,-53.80653,-23.73061
248,5.4341016,-12.949295
249,19.934456,59.532837
250,31.656237,-28.288445
251,19.549149,57.034084
252,3.926697,1.5465343
253,-38.35543,-52.27634
254,-2.1376884,60.013134
255,-36.432213,-12.070563
256,38.949875,33.34891
257,-22.429405,-23.537912
258,57.852695,20.87392
259,-44.665134,36.492893
260,16.413406,35.538177
261,-11.720318,30.339096
262,-49.352993,-21.535631
263,50.851067,6.8762674
264,-39.269024,-51.498936
265,60.696194,33.208755
266,0.4768611,47.353188
267,-21.599583,-42.368454
268,-27.058828,35.62207
269,7.9428086,15.876934
270,-5.6927595,6.0849404
271,58.269382,-5.2967877
272,24.795504,21.86205
273,-52.742912,15.989889
274,18.379124,57.15694
275,59.031147,-1.5495689
276,-7.9071846,-38.88517
277,-60.428482,-4.3091207
278,-67.836464,-4.5280185
279,10.977907,24.02554
280,-39.69752,-40.959965
281,66.224815,-5.6124306
282,-52.19916,18.952213
283,56.037407,35.39858
284,23.34401,42.5213
285,-30.675495,-29.616419
286,-38.56322,-46.80943
287,15.952955,-31.15567
288,-13.568955,0.26898214
289,5.941111,17.97587
290,-61.985886,5.91675
291,-52.70666,-2.1778271
292,31.189413,35.623028
293,-16.99189,-43.057484
294,1.670813,41.940266
295,-36.44585,-22.567268
296,22.199066,43.023365
297,-12.893081,32.865562
298,30.266504,-31.9089
299,-40.805443,-50.444305
300,-29.835781,-41.08466
301,-44.0297,-48.310402
302,66.38163,-9.849438
303,-35.10413,-23.502619
304,-5.0732107,-21.951221
305,-20.992464,-0.17911793
306,-18.785366,-22.372715
307,41.947697,-50.646477
308,-3.990917,13.070178
309,33.965378,-37.74018
310,14.4026165,-35.58928
311,42.785614,49.094692
312,-62.532703,3.9288943
313,-13.382626,-45.426865
314,46.936165,-25.336664
315,-9.996993,-27.648554
316,-33.90146,-49.228935
317,-29.00104,-5.9345107
318,1.0866166,34.076847
319,29.168684,-7.8555174
320,-23.007908,34.791557
321,15.33793,-28.846779
322,40.508175,32.730213
323,18.976927,60.547726
324,22.775444,48.06093
325,-66.80929,-1.421994
326,-43.52867,31.455105
327,59.162457,2.3860092
328,-6.793437,30.41698
329,47.01951,25.591627
330,37.807713,6.92996
331,17.478388,34.39702
332,-19.066755,-21.428352
333,-8.395344,-60.64151
334,-6.8038363,35.6473
335,-9.522677,-22.477287
336,-51.65843,17.15489
337,-56.0984,23.757933
338,-34.697014,-11.9350605
339,44.867466,15.391208
340,9.191037,-8.0186
341,-33.65826,40.388645
342,13.54955,25.326124
343,42.297836,8.377448
344,1.3935492,-21.831226
345,60.44202,35.38559
346,15.446554,-54.05319
347,-63.000816,-7.4884343
348,-0.35793525,-40.142143
349,-51.17271,-19.641825
350,-4.5316763,13.071773
351,-9.125815,37.272045
352,21.534779,55.876865
353,-49.38941,22.26532
354,2.8253214,17.610489
355,55.480953,-4.452094
356,-61.06116,-3.2398005
357,-54.283573,32.42191
358,-27.67796,43.493675
359,8.100668,63.707462
360,-17.726343,-29.783745
361,48.669582,35.3097
362,-8.385103,-23.24507
363,23.656563,51.908146
364,-8.454625,63.777046
365,-8.156495,43.82949
366,16.220118,-47.90643
367,9.911792,-49.902588
368,15.335904,-45.137062
369,45.78305,53.441208
370,-4.77838,59.770184
371,-54.79049,-5.2923794
372,23.170013,-55.565216
373,38.694275,-34.834354
374,-13.545046,63.785
375,18.359976,36.972767
376,23.570042,-5.7997656
377,-19.558767,19.25673
378,14.662036,47.933712
379,61.352734,27.634092
380,-59.055843,17.980991
381,46.8189,-32.859142
382,-7.0128736,1.1602854
383,-36.438023,2.907458
384,-37.81269,30.659346
385,33.7685,-33.752033
386,-27.907515,-3.633876
387,-56.10823,0.07686146
388,13.881142,-20.42471
389,12.19914,-34.59443
390,7.266014,-15.540826
391,4.011476,58.687893
392,5.947523,13.485733
393,-42.1004,25.010477
394,-25.150312,3.6513753
395,-55.303596,-0.8802315
396,-8.714549,-20.699203
397,-29.370989,12.656251
398,24.770475,-44.291256
399,48.080868,-52.364414
400,11.933452,19.835545
401,19.822844,-65.83465
402,-1.9988862,41.589138
403,-51.477127,21.394684
404,37.363777,-22.752596
405,-2.4284546,-45.19925
406,11.448641,-46.72652
407,3.4055977,66.98821
408,53.654152,-9.628118
409,-34.47992,48.455894
410,22.920685,43.71844
411,-35.937115,-34.48655
412,16.708796,8.827017
413,-28.689653,-24.200626
414,-32.17872,-44.69695
415,-40.55864,33.09201
416,70.15026,-14.46183
417,0.6385451,14.456289
418,54.577477,-13.785233
419,2.5432591,43.363575
420,5.6715684,52.57048
421,-49.03723,-37.966045
422,-20.969795,17.35744
423,15.909398,-0.12876953
424,-43.835976,25.19013
425,-22.111609,-39.211426
426,56.131317,28.921492
427,14.058164,-20.293404
428,-38.397728,7.408535
429,-5.5957923,-20.07821
430,-32.73255,-44.131588
431,27.431477,-6.48597
432,13.367936,7.4645095
433,-31.319983,46.440544
434,14.310349,5.7360325
435,26.297277,56.204983
436,55.227283,35.30268
437,-0.6794757,63.0672
438,9.8229265,-58.725254
439,61.65988,27.570246
440,30.56812,-7.3202143
441,41.03569,48.34946
442,-31.828001,45.296158
443,14.006216,26.229782
444,7.007659,-58.316418
445,56.566162,24.925558
446,42.52332,-6.474526
447,-12.842274,-6.6358085
448,6.833863,-49.36754
449,19.96361,14.337609
450,42.70851,49.3948
451,-22.4062,-55.168293
452,-25.070011,-55.784428
453,-18.160496,-45.309513
454,-51.34521,29.321655
455,-30.57099,-49.383274
456,4.043084,46.6228
457,55.208145,-41.121044
458,-7.6295595,-32.78754
459,-31.314009,45.501125
460,-0.4070263,-38.15731
461,39.69931,23.541039
462,-62.08667,4.0707507
463,-60.738808,-4.0789337
464,1.6591634,-59.69762
465,14.892063,-12.560447
466,5.769432,66.17926
467,-57.412884,30.33077
468,4.3487535,27.824291
469,-8.193364,44.8741
470,-1.7052251,-33.106743
471,-7.5616145,-20.03389
472,45.19402,50.220074
473,41.375736,2.5232732
474,43.146854,-52.50049
475,1.2353562,-8.887044
476,27.504135,-14.997569
477,-46.725605,-8.314193
478,-5.524827,55.977116
479,24.288813,-18.090643
480,-0.37865716,-4.667227
481,-4.1248236,52.071922
482,-38.23973,7.44058
483,-56.202896,24.580406
484,-45.897697,23.371399
485,-3.5179563,1.698399
486,10.658263,-49.025143
487,-44.25144,-6.7957654
488,-1.6964588,20.52096
489,-20.793709,-11.372402
490,-32.62494,-49.370575
491,-22.670628,-46.637054
492,62.784794,31.733345
493,57.30131,-16.879671
494,-3.6089077,-43.52691
495,41.09215,-1.590285
496,-1.3899546,47.676697
497,-22.574917,-51.837414
498,59.548714,-3.9802747
499,-37.359913,-53.716343
500,-18.13624,3.823794
501,9.475462,-5.232068
502,-22.169832,66.1454
503,-55.563972,19.583963
504,29.569813,36.485886
505,-13.229629,25.637129
506,61.561974,27.723026
507,25.485561,-25.78224
508,13.871045,14.579898
509,12.072186,-9.573346
510,-18.568466,-39.278675
511,25.19699,19.329462
512,-26.71815,-17.920532
513,-0.6318653,5.115814
514,-31.615881,48.220497
515,-57.74782,0.9328679
516,-12.703368,25.9157
517,-38.844425,-33.688194
518,1.3417962,49.192856
519,15.188172,-62.539185
520,22.678684,-28.306608
521,-18.591713,2.856956
522,45.02658,52.917088
523,57.671207,-6.752037
524,-30.622007,42.079185
525,-14.440598,28.14093
526,42.78115,52.92069
527,29.698917,-22.24713
528,43.66044,-14.320565
529,48.836983,-27.214813
530,-24.66562,-8.121704
531,39.119015,10.291515
532,-1.2219093,60.867577
533,9.445585,-9.096666
534,-4.3524194,1.1933259
535,12.178409,36.91248
536,0.24822365,-35.02556
537,-42.58209,4.072737
538,-18.537498,-33.773552
539,-33.292194,13.660448
540,40.73942,48.67454
541,40.137672,4.5853333
542,16.55593,20.889465
543,-21.297218,-6.0012164
544,5.0749707,14.961732
545,45.991493,50.920113
546,24.089859,3.6251733
547,49.305786,-30.297417
548,-44.755814,-51.375343
549,39.188663,-1.1247197
550,47.142525,-50.68171
551,56.151672,-13.373732
552,23.091991,1.716983
553,-18.858473,7.6193247
554,-7.374169,28.354212
555,-30.672432,38.65985
556,5.619759,52.7735
557,39.418167,5.2697783
558,24.698214,43.41827
559,2.9208755,-57.93612
560,62.40519,24.841927
561,42.61741,-30.130812
562,60.628407,31.039093
563,28.37279,-32.424282
564,47.6866,-24.686333
565,-14.698224,36.02118
566,-42.06092,10.90315
567,5.10827,27.67351
568,40.372215,-26.104464
569,-19.214931,23.275084
570,-3.4503934,-5.17385
571,62.72112,4.927263
572,40.848606,-30.936987
573,-57.07892,-3.8015127
574,18.929024,50.66882
575,-38.020664,1.5645936
576,-13.133371,-2.0325522
577,-14.307016,-68.574005
578,-53.149666,37.03433
579,-17.868822,55.21711
580,-12.86749,-61.568962
581,-6.23464,31.041065
582,3.8612454,-59.304665
583,18.11473,13.566644
584,-0.24251972,-27.84329
585,39.37293,39.928013
586,-13.956891,-34.789738
587,23.560818,56.863914
588,-54.71233,-5.590541
589,-3.3349445,-32.06681
590,10.347378,-18.794966
591,42.24162,-48.301712
592,46.369278,3.966147
593,-16.47855,-50.975018
594,0.9891615,-27.538115
595,-22.32051,-39.72917
596,-45.168034,-24.999876
597,-7.326146,-48.851086
598,26.770775,-50.536755
